file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.js,1,js,dbd80d6e,Chanyoung Park,2025-01-30,22:00:54,-08:00,2025-01-30T22:00:54-08:00,0,72
index.js,2,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,0
index.js,3,js,dbd80d6e,Chanyoung Park,2025-01-30,22:00:54,-08:00,2025-01-30T22:00:54-08:00,0,55
index.js,4,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,43
index.js,5,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,0
index.js,6,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,61
index.js,7,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,55
index.js,8,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,0
index.js,9,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,59
index.js,10,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,61
index.js,11,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,0
index.js,12,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,18
index.js,13,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,25
index.js,14,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,3
index.js,15,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,60
index.js,16,js,3a1913b3,Chanyoung Park,2025-02-06,18:57:10,-08:00,2025-02-06T18:57:10-08:00,0,55
index.js,17,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,49
index.js,18,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,49
index.js,19,js,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,4
